cluster_id,pattern_name,total_plays,goals,shots,losses,avg_duration,avg_forward_progress,avg_events,wing_plays
423,Mixed Attack Medium Deep,3,0,0,3,7.996666666666594,38.78666666666667,6.333333333333333,2
424,Mixed Attack Medium Mid,3,0,0,3,5.77233333333326,28.593333333333334,5.666666666666667,1
425,Mixed Attack Slow Build Deep High-Conv,3,1,1,2,11.734000000000227,87.64333333333333,6.666666666666667,1
426,Central Attack Slow Build Deep High-Conv,3,1,3,0,25.436000000000302,57.88333333333333,17.333333333333332,0
427,Mixed Attack Medium Short,3,0,0,3,6.395333333333535,13.916666666666666,5.0,1
428,Mixed Attack Fast Mid,3,0,0,3,4.237333333333329,26.00666666666667,3.3333333333333335,2
429,Mixed Attack Slow Build Deep,3,0,0,3,24.168999999999983,38.5,13.333333333333334,2
430,Mixed Attack Medium Deep,3,0,0,3,5.761333333333387,36.14333333333333,4.666666666666667,2
431,Wing Attack Slow Build Deep,3,0,1,2,28.695333333332957,50.28666666666667,21.333333333333332,3
432,Mixed Attack Slow Build Mid,3,0,1,2,27.5946666666667,29.339999999999993,19.0,2
433,Wing Attack Slow Build Deep,3,0,0,3,29.64033333333335,75.77,17.333333333333332,3
434,Mixed Attack Fast Short,3,0,0,3,3.3480000000001837,7.170000000000001,3.6666666666666665,1
435,Mixed Attack Slow Build Mid,3,0,0,3,11.277666666666695,27.69,9.666666666666666,2
436,Mixed Attack Slow Build Deep,3,0,1,2,23.512333333333498,77.40666666666667,15.333333333333334,2
437,Wing Attack Medium Deep,3,0,0,3,9.598333333333395,50.94333333333333,6.333333333333333,3
438,Mixed Attack Fast Mid,3,0,0,3,3.6593333333335067,21.0,3.0,1
439,Mixed Attack Slow Build Deep,3,0,0,3,15.32666666666652,56.78,8.0,2
440,Wing Attack Medium Deep,3,0,0,3,9.109000000000227,63.60333333333333,4.0,3
441,Wing Attack Medium Deep,3,0,0,3,5.8613333333332776,38.00666666666667,4.0,3
442,Mixed Attack Slow Build Deep,3,0,0,3,11.311333333333247,51.656666666666666,8.0,2
443,Mixed Attack Medium Mid,3,0,0,3,7.229333333333254,22.330000000000002,5.333333333333333,2
444,Central Attack Fast Short,3,0,0,3,4.425999999999779,10.04,5.0,0
445,Mixed Attack Medium Mid,3,0,0,3,7.751999999999801,26.673333333333332,6.0,2
